case_id,timestamp,state_feature_vector,action_taken,reward_causal,was_safe,next_state
,2025-12-19T12:18:39.281176,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.281418,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.281594,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.282108,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_ceec943c-a7d0-42ce-a2e5-d96480a12f22,-5,True,terminal
,2025-12-19T12:18:39.283027,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.283344,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,-5,True,terminal
,2025-12-19T12:18:39.284062,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.284211,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.284379,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.284518,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.284932,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,200.0,True,terminal
,2025-12-19T12:18:39.285080,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,-5,True,terminal
,2025-12-19T12:18:39.285522,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,-5,True,terminal
,2025-12-19T12:18:39.285786,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,200.0,True,terminal
,2025-12-19T12:18:39.286362,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.287575,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.287724,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.287881,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.288165,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7e5e60aa-c60a-43ad-a346-38296754f1a4,200.0,True,terminal
